name,mapping,type,description,nullable,defaultValue,masking type
DynamicAttribute190,IVR_fromVoice_Delay_Time,int,,TRUE,,none
DynamicAttribute191,"IVR_fromVoice_RefData_Manager
TelcoVoiceRefdataManager",long,,TRUE,,none
DynamicAttribute192,SharedSession_Calculated_Any2Same_Next_Contact_Reason_List,long,,TRUE,,none
DynamicAttribute193,SharedSession_Calculated_Any2Same_Previous_Contact_Reason_List,long,,TRUE,,none
DynamicAttribute194,SharedSession_Calculated_Any2Voice_Next_Contact_Reason_List,long,,TRUE,,none
DynamicAttribute195,SharedSession_Calculated_Any2Voice_Previous_Contact_Reason_List,long,,TRUE,,none
DynamicAttribute196,SharedSession_Calculated_Any2Same_Next_Interaction_ID,long,,TRUE,,none
DynamicAttribute197,SharedSession_Calculated_Any2Same_Previous_Interaction_ID,long,,TRUE,,none
DynamicAttribute198,SharedSession_Calculated_Any2Voice_Next_Interaction_ID,long,,TRUE,,none
DynamicAttribute199,Not in use,long,,TRUE,,none
DynamicAttribute200,IVR_Elapsed_IVR_Time,int,,TRUE,,none
DynamicAttribute201,IVR_IVR_Active_Subscriber_Count,int,,TRUE,,none
DynamicAttribute202,SharedSession_Calculated_Any2Any_Next_Interaction_ID,long,,TRUE,,none
DynamicAttribute203,SharedSession_Calculated_Any2Any_Previous_Interaction_ID,long,,TRUE,,none
DynamicAttribute204,SharedSession_Calculated_Any2Voice_Previous_Interaction_ID,long,,TRUE,,none
DynamicAttribute205,Not in use,long,,TRUE,,none
DynamicAttribute206,TelcoSharedtle0BothRefdataDeviceEquipmentCategorySession,long,,TRUE,,none
DynamicAttribute207,Not in use,long,,TRUE,,none
DynamicAttribute208,Not in use,long,,TRUE,,none
DynamicAttribute209,TelcoSharedtle0BothRefdataDeviceModelTypeSession,long,,TRUE,,none
DynamicAttribute210,Not in use,long,,TRUE,,none
DynamicAttribute211,Not in use,long,,TRUE,,none
DynamicAttribute212,TelcoSharedtle0BothRefdataDeviceTechnologyDescriptionSession,long,,TRUE,,none
DynamicAttribute213,TelcoSharedtle0BothRefdataDeviceTypeNameSession,long,,TRUE,,none
DynamicAttribute214,TelcoSharedtle0BothRefdataDeviceVoiceDataSession,long,,TRUE,,none
DynamicAttribute215,TelcoSharedtmubBothRefdataQosMarketNameSession,long,,TRUE,,none
DynamicAttribute216,Not in use,long,,TRUE,,none
DynamicAttribute217,Not in use,long,,TRUE,,none
DynamicAttribute218,Not in use,long,,TRUE,,none
DynamicAttribute219,Not in use,long,,TRUE,,none
DynamicAttribute220,"IVR_fromVoice_RefData_Team_Lead
TelcoVoiceRefdataTeamLead",long,,TRUE,,none
DynamicAttribute221,Not in use,float,,TRUE,,none
DynamicAttribute222,Not in use,float,,TRUE,,none
DynamicAttribute223,Not in use,float,,TRUE,,none
DynamicAttribute224,Not in use,float,,TRUE,,none
DynamicAttribute225,Not in use,float,,TRUE,,none
DynamicAttribute226,SharedTQ22_Both_3G_Data_Attempts_kb_of_Use,float,,TRUE,,none
DynamicAttribute227,SharedTQ22_Both_Enhanced_3G_Attempts_kb_of_Use,float,,TRUE,,none
DynamicAttribute228,SharedTQ22_Both_LTE_Attempts_kb_of_Use,float,,TRUE,,none
DynamicAttribute229,Not in use,float,,TRUE,,none
DynamicAttribute230,Not in use,float,,TRUE,,none
DynamicAttribute231,IVR_Current_Balance,float,,TRUE,,none
DynamicAttribute232,IVR_Payment_Amount,float,,TRUE,,none
DynamicAttribute233,IVR_Total_Due,float,,TRUE,,none
DynamicAttribute234,IVR_Aging_Balance_1,float,,TRUE,,none
DynamicAttribute235,IVR_Aging_Balance_2,float,,TRUE,,none
DynamicAttribute236,IVR_Aging_Balance_3,float,,TRUE,,none
DynamicAttribute237,IVR_Aging_Balance_4,float,,TRUE,,none
DynamicAttribute238,IVR_Unbilled_Adjustments,float,,TRUE,,none
DynamicAttribute239,IVR_Unbilled_Charges,float,,TRUE,,none
DynamicAttribute240,IVR_Unbilled_Usage,float,,TRUE,,none
DynamicAttribute241,IVR_Call_Identifier,string,,TRUE,,none
DynamicAttribute242,"IVR_Subscriber_ID
SharedAll_Both_Subscriber_ID",string,,TRUE,,none
DynamicAttribute243,Not in use,string,,TRUE,,none
DynamicAttribute244,"IVR_fromVoice_Call_ID
VOICE_Call_ID",string,,TRUE,,none
DynamicAttribute245,IVR_fromVoice_ICM_Agent_ID,string,,TRUE,,none
DynamicAttribute246,IVR_fromVoice_ICM_Call_Reason_v8,string,,TRUE,,none
DynamicAttribute247,IVR_fromVoice_RCD_Call_ID_Variable_1,string,,TRUE,,none
DynamicAttribute248,IVR_fromVoice_Peripheral_Number,string,,TRUE,,none
DynamicAttribute249,"IVR_fromVoice_CSR
VOICE_CSR",string,,TRUE,0,none
DynamicAttribute250,SharedAll_Both_Caller_BAN,string,,TRUE,,HASH
DynamicAttribute251,SharedAll_Both_Caller_PTN,string,,TRUE,,HASH
DynamicAttribute252,SharedAll_Both_Transaction_BAN,string,,TRUE,,HASH
DynamicAttribute253,SharedAll_Both_Transaction_PTN,string,,TRUE,,HASH
DynamicAttribute254,Not in use,string,,TRUE,,none
DynamicAttribute255,IVR_Dialed_Number_String,string,,TRUE,,HASH
DynamicAttribute256,Not in use,string,,TRUE,,none
DynamicAttribute257,IVR_fromVoice_Digits_Dialed,string,,TRUE,,none
DynamicAttribute258,Not in use,string,,TRUE,,none
DynamicAttribute259,SharedIHSummary_Both_Interaction_User_ID,string,,TRUE,,none
